DisplayName (class=java.lang.String)
2782018 = CoA
2782016 = 3.1.2.2
2934871 = PLP
2782017 = H2O
2934872 = pyruvate
2784678 = acetyl+CoA
2782014 = CoA
2784677 = CoA
2782015 = H2O
2934870 = NH3
2784676 = acetoacetyl-CoA
c_Unknown+-+15220 = Unknown+-+15220
c_glycosyl-N-%282-hydroxynervonoyl%29-sphingosine+%28d18%3A1%2F24%3A1%282OH%29%29* = glycosyl-N-%282-hydroxynervonoyl%29-sphingosine+%28d18%3A1%2F24%3A1%282OH%29%29*
2934875 = acetyl+CoA
2784675 = 2.3.3.10
2782013 = Long-chain+3-hydroxy+fatty+acid
2934876 = choline
2784674 = acetyl-CoA
2782010 = H%2B
2934873 = serine
2784673 = Mg2%2B
2782011 = 3.1.2.2
2934874 = 2.3.1.6
2784672 = Cu2%2B
2934879 = 1.5.8.4
2784671 = Mn2%2B
2784670 = %28S%29-3-hydroxy-+3-methylglutaryl-CoA
2934877 = CoA
2934878 = acetylcholine
2782009 = NAD%2B
2782007 = acetoacetyl+CoA
2782008 = short+chain+3-hydroxy+acyl-coA
2784669 = acetoacetate
2782005 = NADH
2934860 = 2-phosphoglycerate
2784668 = 4.1.3.4
2783336 = Sphingolipid+Metabolism
2934861 = 3-phosphoglycerate
2784667 = 1%2C2-propanediol
2784666 = NAD%2B
2782004 = 1.1.1.35
2782001 = ATP
2783333 = Fatty+Acid+Metabolism
2934864 = Acceptor
2784664 = NADH
c_citramalate = citramalate
2782002 = Medium+Chain+Fatty+Acid
2934865 = Donor-H2
2784663 = 1.1.1.21
2934862 = 1.5.5.2
2784662 = NADP%2B
2782000 = CoA
2934863 = H%2B
2784661 = NADPH
2934868 = 4.3.1.17
2784660 = acetone
2934869 = H%2B
2934866 = 1-pyrroline-+3-hydroxy-+5-carboxylate
c_phenylacetylglutamate = phenylacetylglutamate
2934867 = trans-4-+hydroxyproline
c_N6%2CN6%2CN6-trimethyllysine = N6%2CN6%2CN6-trimethyllysine
c_lignoceroylcarnitine+%28C24%29* = lignoceroylcarnitine+%28C24%29*
2934890 = betaine
2784659 = acetol
2783327 = Phospholipid+Metabolism
2784658 = 1.14.13.n7
2934894 = H2O
2934891 = methionine
2783323 = Phospholipid+Metabolism
2934892 = 4.2.1.11
2934897 = 1.2.1.3
2783321 = Dicarboxylic+Acid+Metabolism
2934898 = NAD%2B
2934895 = Mg2%2B
2934896 = phosphoenolpyruvate+%28PEP%29
2934899 = H2O
c_1-oleoyl-2-docosahexaenoyl-GPC+%2818%3A1%2F22%3A6%29* = 1-oleoyl-2-docosahexaenoyl-GPC+%2818%3A1%2F22%3A6%29*
2783318 = ENDOCANNABINOID+SYNTHESIS
2783317 = Phosphatidylethanolamine+%28PE%29
2783316 = L-Phosphatidate
2783315 = Ca2%2B
2934882 = dimethylglycine
2934883 = O2
2934880 = FAD
2783312 = 3.1.4.4
2934881 = sarcosine+%28N-methylglycine%29
2783311 = Long+Chain+Fatty+Acid
2934886 = 2.1.1.5
2783310 = ethanolamine
2934884 = formaldehyde
2934885 = H2O
2934888 = homocysteine
2934889 = Zn2%2B
c_1-palmitoylglycerol+%2816%3A0%29 = 1-palmitoylglycerol+%2816%3A0%29
2783309 = Endocannabinoid
2783308 = 3.5.1.99
2783306 = Beta-oxidation
p_Tocopherol+Metabolism = Tocopherol+Metabolism
2783303 = Glycolysis
2783301 = Sphingolipid+Metabolism
c_malate = malate
c_2-linoleoylglycerol+%2818%3A2%29 = 2-linoleoylglycerol+%2818%3A2%29
c_stearate+%2818%3A0%29 = stearate+%2818%3A0%29
c_N-acetyltyrosine = N-acetyltyrosine
c_glucuronide+of+C10H14O2+%287%29* = glucuronide+of+C10H14O2+%287%29*
c_myristoleoylcarnitine+%28C14%3A1%29* = myristoleoylcarnitine+%28C14%3A1%29*
c_1-oleyl-2-linoleoyl-GPC+%28O-18%3A1%2F18%3A2%29* = 1-oleyl-2-linoleoyl-GPC+%28O-18%3A1%2F18%3A2%29*
c_1%2C3-dimethylurate = 1%2C3-dimethylurate
2937066 = H2O2
2937067 = H2O
c_linoleoyl+ethanolamide = linoleoyl+ethanolamide
2937068 = O2
2937061 = NADH
2937062 = NAD%2B
2937063 = H2O
2937064 = 1.4.3.4
2950039 = H2O
2937069 = NH3
2949050 = methacrylyl-CoA
2950036 = H%2B
2951367 = 7%2C8-dihydrofolate
2952699 = H%2B
2950035 = 1.2.1.47
2951366 = tetrahydrofolate
2950038 = NAD%2B
2952697 = NAD%28P%29H
2950037 = NADH
2951368 = Microbiome
2952698 = O2
2951363 = 1.5.1.3
2952695 = 1.14.13.72
2949042 = NAD%2B
2950031 = NADP%2B
2951362 = TDTEDKGEFLSEGGGV
2952696 = NAD%28P%29%2B
c_cysteinylglycine+disulfide* = cysteinylglycine+disulfide*
2949041 = H2O
2950034 = H%2B
2951365 = NADPH
2952693 = NADP%2B
2950033 = NADPH
2951364 = NADP%2B
2952694 = NADPH
2949047 = CoA
2949046 = acetoacetyl+CoA
2949045 = 2.3.1.9
2950030 = 7a-hydroxy-cholestene-3-one
2951361 = TDTEDKGEFLSEGGGVR
2949044 = fatty+omega+aldo+acid
