"SUPERPATHWAY"	"SUBPATHWAY"	"COMPID"	"PLATFORM"	"RI"	"MASS"	"CAS"	"PUBCHEM"	"KEGG"	"HMDBID"
"x-17682"	""	""	40779	"203"	2427.8	485.165	""	""	""	""
"5-acetylamino-6-formylamino-3-methyluracil"	"Xenobiotics"	"Xanthine Metabolism"	34401	"203"	930	225.06292	"85438-96-6"	"108214"	"C16365"	"HMDB11105"
"x-17345"	""	""	40145	"203"	1544	215.10338	""	""	""	""
"2-deoxyuridine"	"Nucleotide"	"Pyrimidine Metabolism, Uracil containing"	1412	"203"	1608	227.06734	"951-78-0"	"13712"	"C00526"	"HMDB00012"
"x-13862"	""	""	35757	"203"	2263	250.07221	""	""	""	""
"5-hete"	"Lipid"	"Eicosanoid"	37372	"203"	5372	319.22786	"73307-52-5"	"5280733"	"C04805"	"HMDB11134"
"indoleacetylglutamine"	"Amino Acid"	"Tryptophan Metabolism"	42087	"203"	2530	302.11463	""	""	""	""
"x-19434"	""	""	42910	"203"	4538	583.3135	""	""	""	""
"x-13528"	""	""	35302	"203"	875	217.08312	""	""	""	""
"3-hydroxypropanoate"	"Lipid"	"Fatty Acid, Monohydroxy"	42103	"GC/MS"	1187.1	177.1	"503-66-2"	"68152"	"C01013"	"HMDB00700"
"1,3-dimethylurate"	"Xenobiotics"	"Xanthine Metabolism"	32391	"203"	1681	195.05236	"944-73-0"	"70346"	""	"HMDB01857"
"5alpha-androstan-3alpha,17beta-diol disulfate"	"Lipid"	"Steroid"	37184	"203"	4240	225.06965	""	""	""	""
"x-11799"	""	""	33144	"202"	1572	226.12839	""	""	""	""
"x-17969"	""	""	41071	"203"	3448	330.2037	""	""	""	""
"5-acetylamino-6-amino-3-methyluracil"	"Xenobiotics"	"Xanthine Metabolism"	34424	"203"	1025	197.06801	"19893-78-8"	"88299"	"C16366"	"HMDB04400"
"gamma-glutamylisoleucine"	"Peptide"	"Gamma-glutamyl Amino Acid"	34456	"202"	2644	261.1445	""	"14253342"	""	"HMDB11170"
"x-10458"	""	""	32955	"203"	3666	231.12373	""	""	""	""
"x-17685"	""	""	40782	"203"	2592.6	233.01212	""	""	""	""
"x-15528"	""	""	37776	"202"	2175	170.08099	""	""	""	""
"arginylisoleucine"	"Peptide"	"Dipeptide"	40070	"202"	1554	288.20302	"62632-70-6"	"433625"	""	""
"gamma-glutamylvaline"	"Peptide"	"Gamma-glutamyl Amino Acid"	32393	"202"	2040	247.12885	"2746-34-1"	"7015683"	""	"HMDB11172"
"1-methylurate"	"Xenobiotics"	"Xanthine Metabolism"	34395	"202"	1827	183.05127	"708-79-2"	"69726"	"C16359"	"HMDB03099"
"gamma-glutamylleucine"	"Peptide"	"Gamma-glutamyl Amino Acid"	18369	"202"	2744	261.1445	"2566-39-4"	"151023"	""	"HMDB11171"
"x-14961"	""	""	36988	"203"	685	149.04556	""	""	""	""
"isovalerate (c5)"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	34732	"203"	1623	101.0608	"503-74-2"	"10430"	"C08262"	"HMDB00718"
"x-18341"	""	""	41559	"203"	1038.9	190.07221	""	""	""	""
"propionylglycine (c3)"	"Lipid"	"Fatty Acid Metabolism (also BCAA Metabolism)"	31932	"203"	966	130.05096	"21709-90-0"	"98681"	""	"HMDB00783"
"1,3,7-trimethylurate"	"Xenobiotics"	"Xanthine Metabolism"	34404	"203"	1988	209.06801	"5415-44-1"	"79437"	"C16361"	"HMDB02123"
"x-17856"	""	""	40958	"203"	2110.1	469.18231	""	""	""	""
"x-11491"	""	""	32808	"203"	4846	567.31639	""	""	""	""
"x-17347"	""	""	40154	"203"	1851.9	218.99719	""	""	""	""
"1,7-dimethylurate"	"Xenobiotics"	"Xanthine Metabolism"	34400	"203"	1607	195.05236	"33868-03-0"	"91611"	"C16356"	"HMDB11103"
"x-12097"	""	""	33512	"202"	1526	174.1237	""	""	""	""
"isoleucylthreonine"	"Peptide"	"Dipeptide"	42968	"203"	2250	231.13503	""	""	""	""
"x-18889"	""	""	42274	"203"	2662.5	202.1088	""	""	""	""
"5alpha-androstan-3,17-diol monosulfate (alpha,beta or beta,alpha)"	"Lipid"	"Steroid"	37189	"203"	5072	371.18976	""	""	""	""
"dihydroferulic acid"	"Xenobiotics"	"Food Component/Plant"	40481	"203"	1929	195.06628	"1135-23-5"	"14340"	""	""
"x-12411"	""	""	33839	"203"	1077	195.03333	""	""	""	""
"x-16940"	""	""	39523	"203"	1694.1	204.98081	""	""	""	""
"stearoylcarnitine (c18)"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	34409	"202"	5300	428.37344	"18822-91-8"	"6426855"	""	"HMDB00848"
"x-12833"	""	""	34516	"203"	3337	229.01765	""	""	""	""
"x-17438"	""	""	40267	"203"	1986.1	245.1396	""	""	""	""
"trimethylamine n-oxide"	"Lipid"	"Phospholipid Metabolism"	40406	"202"	703.8	151.1441	"1184-78-7"	"1145"	"C01104"	"HMDB00925"
"valylglutamine"	"Peptide"	"Dipeptide"	42079	"203"	1495	244.13028	"42854-54-6"	"5253209"	""	""
"x-12063"	""	""	33415	"203"	4822	427.21514	""	""	""	""
"x-12096"	""	""	33511	"202"	1578	174.12364	""	""	""	""
"x-12713"	""	""	34323	"203"	1645	263.02318	""	""	""	""
"sucrose"	"Carbohydrate"	"Disaccharides and Oligosaccharides"	1519	"203"	875	341.10894	"57-50-1"	"5988"	"C00089"	"HMDB00258"
"7-alpha-hydroxycholesterol"	"Lipid"	"Sterol"	35692	"GC/MS"	2300	456.2	"566-26-7"	"107722"	"C03594"	"HMDB01496"
"1-methylxanthine"	"Xenobiotics"	"Xanthine Metabolism"	34389	"202"	1974	167.05636	"6136-37-4"	"80220"	"C16358"	"HMDB10738"
"phenyllactate (pla)"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	22130	"203"	2237	165.05571	"828-01-3"	"3848"	"C05607"	"HMDB00779"
"3,7-dimethylurate"	"Xenobiotics"	"Xanthine Metabolism"	34399	"203"	1432	195.05236	"13087-49-5"	"83126"	"C16360"	"HMDB01982"
"serylleucine"	"Peptide"	"Dipeptide"	40066	"202"	2106	219.13394	"6665-16-3"	""	""	""
"hwesasxx"	"Peptide"	"Polypeptide"	32836	"202"	3520	471.73762	""	""	""	""
"lathosterol"	"Lipid"	"Sterol"	39864	"GC/MS"	2337	255.2	"80-99-9"	"65728"	"C01189"	"HMDB01170"
"indolelactate"	"Amino Acid"	"Tryptophan Metabolism"	18349	"202"	3519	206.08117	"832-97-3"	"92904"	"C02043"	"HMDB00671"
"x-17305"	""	""	40103	"202"	2157.1	296.14877	""	""	""	""
"x-13728"	""	""	35538	"203"	1574	197.06761	""	""	""	""
"x-15472"	""	""	37720	"202"	3653	204.12295	""	""	""	""
"vanillylmandelate (vma)"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	1567	"203"	964	197.04555	"55-10-7"	"1245"	"C05584"	"HMDB00291"
"x-15492"	""	""	37740	"203"	4698	541.26439	""	""	""	""
"gamma-glutamylglutamate"	"Peptide"	"Gamma-glutamyl Amino Acid"	36738	"202"	1036	277.10303	"1116-22-9"	"92865"	"C05282"	"HMDB11737"
"x-14095"	""	""	36019	"203"	1027	199.07196	""	""	""	""
"threonylproline"	"Peptide"	"Dipeptide"	42005	"203"	1492	215.10373	"281670-51-7"	""	""	""
"x-12108"	""	""	33523	"202"	1468	160.10815	""	""	""	""
"x-11847"	""	""	33192	"203"	3074	259.0096	""	""	""	""
"leucylleucine"	"Peptide"	"Dipeptide"	36756	"202"	3012	245.18597	"3303-31-9"	"76807"	"C11332"	"HMDB28933"
"x-12715"	""	""	34375	"202"	2067	281.11327	""	""	""	""
"allo-isoleucine"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	47034	"GC/MS"	1610	274.22357	""	"6950182;99288"	""	""
"histidyltryptophan"	"Peptide"	"Dipeptide"	41912	"202"	1961	342.15607	"23403-90-9"	"6539217"	""	""
"x-12707"	""	""	34317	"203"	1260	249.00695	""	""	""	""
"pyridoxate"	"Cofactors and Vitamins"	"Vitamin B6 Metabolism"	31555	"203"	2210	182.04588	"82-82-6"	"6723"	"C00847"	"HMDB00017"
"palmitoylcarnitine (c16)"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	22189	"202"	5179	400.34214	"6865-14-1"	"461"	"C02990"	"HMDB00222"
"tryptophylglutamate"	"Peptide"	"Dipeptide"	41401	"202"	2246	334.13975	"36099-95-3"	"3634442"	""	""
"1-methylhistidine"	"Amino Acid"	"Histidine Metabolism"	30460	"203"	1245	168.07785	"332-80-9"	"92105"	"C01152"	"HMDB00001"
"x-12456"	""	""	33901	"203"	4338	427.21521	""	""	""	""
"x-12734"	""	""	34344	"203"	2214	218.99646	""	""	""	""
"n-acetylserine"	"Amino Acid"	"Glycine, Serine and Threonine Metabolism"	37076	"202"	1012	148.06044	"97-14-3"	"65249"	""	"HMDB02931"
"cholate"	"Lipid"	"Primary Bile Acid Metabolism"	22842	"203"	5148	407.28029	"81-25-4"	"221493"	"C00695"	"HMDB00619"
"gamma-glutamylalanine"	"Peptide"	"Gamma-glutamyl Amino Acid"	37063	"202"	1108	219.09755	"5875-41-2"	"440103"	""	""
"x-12782"	""	""	34463	"202"	3122	385.24377	""	""	""	""
"erythronate"	"Carbohydrate"	"Aminosugar Metabolism"	33477	"GC/MS"	1546.9	292.1	"88759-55-1"	"2781043"	""	"HMDB00613"
"x-12324"	""	""	33746	"203"	2052	217.01769	""	""	""	""
"x-12602"	""	""	34170	"202"	1456	204.13458	""	""	""	""
